be,bI,iz,wAz,bin,bIiN
have,hav,haz,had,had,haviN
do,dU,d?z,did,d?n,dUiN
say,s!,sEz,sEd,sEd,s!iN
go,g+,g+z,wEnt,gon,g+iN
get,gEt,gEts,gAt,gAt?n,gEtiN
know,n+,n+z,nU,n+n,n+iN
make,m!k,m!ks,m!d,m!d,m!kiN
think,TiNk,TiNks,Tot,Tot,TiNkiN
take,t!k,t!ks,tuk,t!k?n,t!kiN
see,sI,sIz,so,sIn,sIiN
come,k?m,k?mz,k!m,k?m,k?miN
want,wAnt,wAnts,wAnt?d,wAnt?d,wAntiN
look,luk,luks,lukt,lukt,lukiN
use,yUz,yUz?z,yUzd,yUzd,yUziN
find,fYnd,fYndz,fWnd,fWnd,fYndiN
tell,tEl,tElz,t+ld,t+ld,tEliN
give,giv,givz,g!v,giv?n,giviN
work,wRk,wRks,wRkt,wRkt,wRkiN
call,kol,kolz,kold,kold,koliN
try,trY,trYz,trYd,trYd,trYiN
ask,ask,asks,askt,askt,askiN
need,nId,nIdz,nId?d,nId?d,nIdiN
feel,fIl,fIlz,fElt,fElt,fIliN
become,bik?m,bik?mz,bik!m,bik?m,bik?miN
mean,mIn,mInz,mEnt,mEnt,mIniN
leave,lIv,lIvz,lEft,lEft,lIviN
let,lEt,lEts,lEt,lEt,lEtiN
put,put,puts,put,put,putiN
keep,kIp,kIps,kEpt,kEpt,kIpiN
talk,tok,toks,tokt,tokt,tokiN
turn,tRn,tRnz,tRnd,tRnd,tRniN
seem,sIm,sImz,sImd,sImd,sImiN
begin,bigin,biginz,bigan,big?n,biginiN
help,hElp,hElps,hElpt,hElpt,hElpiN
start,stArt,stArts,stArt?d,stArt?d,stArtiN
show,S+,S+z,S+d,S+n,S+iN
hear,hir,hirz,hRd,hRd,hiriN
play,pl!,pl!z,pl!d,pl!d,pl!iN
run,r?n,r?nz,ran,r?n,r?niN
happen,hap?n,hap?nz,hap?nd,hap?nd,hap?niN
like,lYk,lYks,lYkt,lYkt,lYkiN
move,mUv,mUvz,mUvd,mUvd,mUviN
believe,bilIv,bilIvz,bilIvd,bilIvd,bilIviN
hold,h+ld,h+ldz,hEld,hEld,h+ldiN
live,liv,livz,livd,livd,liviN
bring,briN,briNz,brot,brot,briNiN
write,rYt,rYts,r+t,rit?n,rYtiN
provide,pr?vYd,pr?vYdz,pr?vYd?d,pr?vYd?d,pr?vYdiN
sit,sit,sits,sat,sat,sitiN
stand,stand,standz,stud,stud,standiN
lose,lUz,lUz?z,lost,lost,lUziN
include,inklUd,inklUdz,inklUd?d,inklUd?d,inklUdiN
pay,p!,p!z,p!d,p!d,p!iN
meet,mIt,mIts,mEt,mEt,mItiN
set,sEt,sEts,sEt,sEt,sEtiN
continue,k?ntinyU,k?ntinyUz,k?ntinyUd,k?ntinyUd,k?ntinyUiN
watch,wAC,wAC?z,wACt,wACt,wACiN
learn,lRn,lRnz,lRnd,lRnd,lRniN
change,C!nJ,C!nJ?z,C!nJd,C!nJd,C!nJiN
lead,lId,lIdz,lEd,lEd,lIdiN
stop,stAp,stAps,stApt,stApt,stApiN
understand,?ndRstand,?ndRstandz,?ndRstund,?ndRstund,?ndRstandiN
follow,fAl+,fAl+z,fAl+d,fAl+d,fAl+iN
create,krI!t,krI!ts,krI!t?d,krI!t?d,krI!tiN
add,ad,adz,ad?d,ad?d,adiN
speak,spIk,spIks,sp+k,sp+k?n,spIkiN
allow,?lW,?lWz,?lWd,?lWd,?lWiN
spend,spEnd,spEndz,spEnt,spEnt,spEndiN
read,rId,rIdz,rEd,rEd,rIdiN
walk,wok,woks,wokt,wokt,wokiN
open,+p?n,+p?nz,+p?nd,+p?nd,+p?niN
win,win,winz,w?n,w?n,winiN
grow,gr+,gr+z,grU,gr+n,gr+iN
remember,rimEmbR,rimEmbRz,rimEmbRd,rimEmbRd,rimEmbRiN
offer,ofR,ofRz,ofRd,ofRd,ofRiN
love,l?v,l?vz,l?vd,l?vd,l?viN
wait,w!t,w!ts,w!t?d,w!t?d,w!tiN
consider,k?nsidR,k?nsidRz,k?nsidRd,k?nsidRd,k?nsidRiN
buy,bY,bYz,bAt,bAt,bYiN
appear,?pir,?pirz,?pird,?pird,?piriN
serve,sRv,sRvz,sRvd,sRvd,sRviN
die,dY,dYz,dYd,dYd,dYiN
stay,st!,st!z,st!d,st!d,st!iN
fall,fol,folz,fEl,fol?n,foliN
build,bild,bildz,bilt,bilt,bildiN
send,sEnd,sEndz,sEnt,sEnt,sEndiN
cut,k?t,k?ts,k?t,k?t,k?tiN
expect,ikspEkt,ikspEkts,ikspEkt?d,ikspEkt?d,ikspEktiN
kill,kil,kilz,kild,kild,kiliN
suggest,s?gJEst,s?gJEsts,s?gJEst?d,s?gJEst?d,s?gJEstiN
reach,rIC,rIC?z,rICt,rICt,rICiN
remain,rim!n,rim!nz,rim!nd,rim!nd,rim!niN
require,rIkwYR,rIkwYRz,rIkwYRd,rIkwYRd,rIkwYRiN
thank,TaNk,TaNks,TaNkt,TaNkt,TaNkiN
report,r?port,r?ports,r?port?d,r?port?d,r?portiN
sell,sEl,sElz,s+ld,s+ld,sEliN
pull,pul,pulz,puld,puld,puliN
raise,r!z,r!z?z,r!zd,r!zd,r!ziN
pass,pas,pas?z,past,past,pasiN
